Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes,,Ramp-up
get invoice by status,1000,4,2,15,1.37579031832616,0,10.0097094181356,19.608864348418,2.12119818724162,2006,,1000/100
TOTAL,1000,4,2,15,1.37579031832616,0,10.0097094181356,19.608864348418,2.12119818724162,2006,,
,,,,,,,,,,,,
get all invoice by username,1000,3,2,36,1.71547194672487,0,10.0098096134212,7.1163490220416,2.2287466717383,728,,1000/100
TOTAL,1000,3,2,36,1.71547194672487,0,10.0098096134212,7.1163490220416,2.2287466717383,728,,
,,,,,,,,,,,,
update invoice status,1000,7,3,44,2.74105362953737,0,10.0093086570511,6.891174417208,68.8468889348344,705,,1000/100
TOTAL,1000,7,3,44,2.74105362953737,0,10.0093086570511,6.891174417208,68.8468889348344,705,,
,,,,,,,,,,,,
payWithPaypal,1000,14929,1194,28608,7802.49753253348,0,7.79095314520778,4.04764362622123,52.157144498808,532,,1000/100
TOTAL,1000,14929,1194,28608,7802.49753253348,0,7.79095314520778,4.04764362622123,52.157144498808,532,,
,,,,,,,,,,,,
payWithCash,1000,5,3,16,1.63639970667316,0,10.011212558065,4.82962793328528,67.0916269972369,494,,1000/100
TOTAL,1000,5,3,16,1.63639970667316,0,10.011212558065,4.82962793328528,67.0916269972369,494,,
,,,,,,,,,,,,
get staff info,100,3,2,22,1.99346432122574,0,10.0989699050697,6.24282026358312,2.07107781256312,633,,100/10
TOTAL,100,3,2,22,1.99346432122574,0,10.0989699050697,6.24282026358312,2.07107781256312,633,,
